
** Pinging continuously.  Press control-c to stop **

2026:04:16 14:17:48 Probing 177.136.10.96:491/tcp - Port is open - time=24.481ms 
2026:04:16 14:17:49 Probing 177.136.10.96:491/tcp - Port is open - time=24.006ms 
2026:04:16 14:17:51 Probing 177.136.10.96:491/tcp - Port is open - time=23.668ms 
2026:04:16 14:17:53 Probing 177.136.10.96:491/tcp - Port is open - time=24.271ms 
2026:04:16 14:17:54 Probing 177.136.10.96:491/tcp - Port is open - time=25.687ms 
2026:04:16 14:17:56 Probing 177.136.10.96:491/tcp - Port is open - time=20.977ms 
2026:04:16 14:17:58 Probing 177.136.10.96:491/tcp - Port is open - time=73.853ms 
2026:04:16 14:17:59 Probing 177.136.10.96:491/tcp - Port is open - time=26.496ms 
2026:04:16 14:18:01 Probing 177.136.10.96:491/tcp - Port is open - time=25.351ms 
2026:04:16 14:18:02 Probing 177.136.10.96:491/tcp - Port is open - time=23.047ms 
2026:04:16 14:18:04 Probing 177.136.10.96:491/tcp - Port is open - time=26.205ms 
2026:04:16 14:18:06 Probing 177.136.10.96:491/tcp - Port is open - time=26.485ms 
2026:04:16 14:18:07 Probing 177.136.10.96:491/tcp - Port is open - time=21.127ms 
2026:04:16 14:18:09 Probing 177.136.10.96:491/tcp - Port is open - time=21.107ms 
2026:04:16 14:18:10 Probing 177.136.10.96:491/tcp - Port is open - time=24.842ms 
2026:04:16 14:18:12 Probing 177.136.10.96:491/tcp - Port is open - time=21.901ms 
2026:04:16 14:18:14 Probing 177.136.10.96:491/tcp - Port is open - time=20.863ms 
2026:04:16 14:18:15 Probing 177.136.10.96:491/tcp - Port is open - time=21.874ms 
2026:04:16 14:18:17 Probing 177.136.10.96:491/tcp - Port is open - time=22.079ms 
2026:04:16 14:18:18 Probing 177.136.10.96:491/tcp - Port is open - time=24.032ms 
2026:04:16 14:18:20 Probing 177.136.10.96:491/tcp - Port is open - time=24.360ms 
2026:04:16 14:18:21 Probing 177.136.10.96:491/tcp - No response - time=2008.678ms 
2026:04:16 14:18:23 Probing 177.136.10.96:491/tcp - Port is open - time=21.804ms 
2026:04:16 14:18:25 Probing 177.136.10.96:491/tcp - Port is open - time=21.036ms 
2026:04:16 14:18:27 Probing 177.136.10.96:491/tcp - Port is open - time=25.184ms 
2026:04:16 14:18:28 Probing 177.136.10.96:491/tcp - Port is open - time=24.784ms 
2026:04:16 14:18:30 Probing 177.136.10.96:491/tcp - Port is open - time=24.612ms 
2026:04:16 14:18:31 Probing 177.136.10.96:491/tcp - Port is open - time=31.989ms 
2026:04:16 14:18:33 Probing 177.136.10.96:491/tcp - Port is open - time=21.924ms 
2026:04:16 14:18:35 Probing 177.136.10.96:491/tcp - Port is open - time=24.777ms 
2026:04:16 14:18:36 Probing 177.136.10.96:491/tcp - Port is open - time=25.360ms 
2026:04:16 14:18:38 Probing 177.136.10.96:491/tcp - Port is open - time=21.567ms 
2026:04:16 14:18:40 Probing 177.136.10.96:491/tcp - Port is open - time=1034.226ms 
2026:04:16 14:18:41 Probing 177.136.10.96:491/tcp - Port is open - time=32.737ms 
2026:04:16 14:18:42 Probing 177.136.10.96:491/tcp - Port is open - time=20.380ms 
2026:04:16 14:18:44 Probing 177.136.10.96:491/tcp - Port is open - time=20.348ms 
2026:04:16 14:18:46 Probing 177.136.10.96:491/tcp - Port is open - time=23.671ms 
2026:04:16 14:18:47 Probing 177.136.10.96:491/tcp - Port is open - time=24.100ms 
2026:04:16 14:18:49 Probing 177.136.10.96:491/tcp - Port is open - time=23.178ms 
2026:04:16 14:18:50 Probing 177.136.10.96:491/tcp - Port is open - time=20.726ms 
2026:04:16 14:18:52 Probing 177.136.10.96:491/tcp - Port is open - time=24.215ms 
2026:04:16 14:18:54 Probing 177.136.10.96:491/tcp - Port is open - time=30.100ms 
2026:04:16 14:18:55 Probing 177.136.10.96:491/tcp - Port is open - time=26.650ms 
2026:04:16 14:18:57 Probing 177.136.10.96:491/tcp - Port is open - time=21.284ms 
